Ligand,Smiles
[<sup>125</sup>I]SB258585,COc1ccc(NS(=O)(=O)c2ccc([125I])cc2)cc1N1CCN(C)CC1
vortioxetine,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
cerlapirdine,CN(C)CCCOc1ccc2n[nH]c(S(=O)(=O)c3cccc4ccccc34)c2c1
EMD-386088,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1
WAY-208466,CN(C)CCn1cc(S(=O)(=O)c2cccc(F)c2)c2cccnc21
intepirdine,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1
BMY-7378,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
NAN 190,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
(-)-adrenaline,CNC[C@H](O)c1ccc(O)c(O)c1
A61603,CS(=O)(=O)Nc1c(O)ccc2c1CCCC2C1=NCCN1
NS-49,CS(=O)(=O)Nc1ccc(F)c([C@@H](O)CN)c1
HEAT (BE2254),O=C1c2ccccc2CCC1CNCCc1ccc(O)cc1[125I]
methoxamine,COc1ccc(OC)c(C(O)C(C)N)c1
phenylephrine,CNC[C@H](O)c1cccc(O)c1
(+)-cyclazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)[C@H]4CCCC[C@H]43)nc(N)c2cc1OC
S(+)-niguldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1
tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
5-methylurapidil,COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1
A-119637,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3scc(-c4ccccc4)c3c2=O)CC1
A-123189,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3scc(-c4cccc(C)c4)c3c2=O)CC1
silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
RS-17053,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1
